Name=0523_01_02,05/23/2002 17:02:51,Fs=10kHz Spont,aneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T(ms),CH1(mV),CH2(mV),CH3(mV),CH4(mV),CH5(mV),CH6(mV),CH7(mV),CH8(mV),CH9(mV),CH10(mV),CH11(mV),CH12(mV),CH13(mV),CH14(mV),CH15(mV),CH16(mV),CH17(mV),CH18(mV),CH19(mV),CH20(mV),CH21(mV),CH22(mV),CH23(mV),CH24(mV),CH25(mV),CH26(mV),CH27(mV),CH28(mV),CH29(mV),CH30(mV),CH31(mV),CH32(mV),CH33(mV),CH34(mV),CH35(mV),CH36(mV),CH37(mV),CH38(mV),CH39(mV),CH40(mV),CH41(mV),CH42(mV),CH43(mV),CH44(mV),CH45(mV),CH46(mV),CH47(mV),CH48(mV),CH49(mV),CH50(mV),CH51(mV),CH52(mV),CH53(mV),CH54(mV),CH55(mV),CH56(mV),CH57(mV),CH58(mV),CH59(mV),CH60(mV),CH61(mV),CH62(mV),CH63(mV),CH64(mV)
1848.1,0.00273302,0.000291033,0.000873086,0.029474258,0.11080057,0.000873086,-0.001179874,-0.006774278,0.004721318,0.004721318,0.002442,0.024608013,0.017381033,0.007647364,-0.001924609,0.012789066,-6.46755E-05,0.002603682,0.005917768,0.002571338,-0.004430285,-0.006871285,-0.007033967,-0.002183298,-0.004591967,-0.009604305,-0.014034603,-0.011495596,-0.00205296,-0.00693696,-0.009571974,0,0.017639722,0.011948311,0.005497384,0.019433993,0.012304007,0.009539642,0,-0.002603682,0.005206364,0.004850669,0.004850656,-0.002377325,-0.001859934,-0.014292305,-0.014487318,-0.017219338,-0.004688987,-0.009182947,-0.011980642,0.002409656,0.004915331,-0.002441,-0.007485682,0.009313285,0.004559636,0.000194013,0.000129351,-0.004721318,-0.002927046,0.002086291,-0.012627371,-0.005109358
1848.2,-0.006960225,0.017452791,0.013298358,0.074075073,0.244091712,0.023064358,0.013783407,0.003128152,-0.000202103,0.004680897,0.012207,0.039305517,0.036984791,0.019935205,0.005528738,0.020258583,-0.002522844,0.007527103,0.00861746,0.007486672,0.005448894,0.005448894,0.002804791,0.002764377,-0.002078209,0.005084119,0.000767997,-0.008875745,0.00048505,-0.00195695,-0.007081467,0,0.015336152,0.002117639,0.00320998,0.009643742,0.009886258,0.009483053,0.002442,0.007121897,0.000404205,0.002400586,0.01704957,0.009845844,0.000727583,-0.009320381,-0.002239897,-0.012368672,0.002684517,-0.011479434,-0.004600053,-0.00736443,-0.004841586,-0.004883,-0.007526103,-0.007889894,-0.000404205,0.007566517,0.007485689,0.002643103,0.009158692,0.016645364,-0.007849464,-0.002723947
1848.3,0.00043653,0.02973355,0.023281629,0.077170887,0.357851854,0.037930629,0.026305689,0.008148583,-0.000242523,0.009522477,0.014649,0.04179502,0.05658855,0.020016046,0.008100086,0.008197099,-9.70132E-05,-0.002198477,0.003993152,0.007519007,0.005562073,0.000679073,0.00287755,0.002829053,0.00287755,0.002683543,-0.003961404,-0.006256894,0.00302306,-0.00430094,-0.00215096,0,0.035004583,0.016701967,0.000921576,0.01694449,0.01479351,0.006984464,0.002442,-0.002684523,-0.016604954,-0.009814497,-0.002489517,-0.007227987,-0.011333901,-0.018997457,-0.009523477,-0.012401007,0.00029102,-0.011333921,-0.002102464,-4.85166E-05,0.007373497,-0.002441,-0.002683523,-0.000679073,0.016604954,0.00273302,0.007518026,-0.004640477,-0.00316957,-0.000533563,-0.000630556,-0.007663536
1848.4,0.005392285,0.044454308,0.028382901,0.046087702,0.444755997,0.047914901,0.02173797,0.005845013,-0.012489944,-0.010048944,0.007325,0.056491523,0.068868308,0.022538887,0.008229434,0.008342616,-0.000113182,0.002724944,0.004251844,0.007551341,0.003233252,-0.001649748,0.000509308,0.002893728,0.007833308,0.017371967,0.013282195,-0.003638043,-0.00664493,-0.01396993,-0.009426454,0,0.015611013,-0.002894705,-0.011131828,-0.002611762,0.002610762,-0.002837126,0,-0.002724944,-0.001875113,-0.002498579,0.009709397,-0.002328818,-0.003864384,0.000622467,-0.004600056,-0.009992341,0.000339523,0.001018593,0.000396126,0.007268397,0.009822579,-0.002441,-0.005165944,0.006531748,0.011641113,0.005222523,0.005109364,-0.002159056,-0.000848831,-0.00062249,-0.005618649,-0.012603126
1848.5,0.00302404,0.056734066,0.050574172,-0.033824483,0.485274139,0.072547172,0.044026252,0.008423444,0.004559636,0.021648636,0.039063,0.102927026,0.108004066,0.044591728,0.018123781,0.013371132,-0.002571351,0.002765364,0.006952536,0.007583675,0.00334643,0.00090543,0.003023066,0.010282404,-0.004300934,-0.002118609,-0.001213205,-0.001018192,-0.004106921,0.003217079,-0.002053947,0,0.020630444,0.001923623,-0.001212232,0.002246987,0.009959013,0.004430285,-0.002441,0.002117636,-0.009119272,-0.004947662,0.007260311,0.009894351,-0.001277868,-0.004171609,0.002764364,-0.002700675,-0.002052974,-0.008600894,-0.004430285,-0.007388689,-0.007259338,-0.009765,-0.010089364,-0.00578843,0.014001272,-0.002052974,0.002700702,-0.004559636,0.003911907,0.011495583,-0.003281742,-0.002893715
1848.6,0.012861795,0.078779825,0.060558444,-0.172329669,0.369541281,0.089855444,0.049224533,0.015884874,0.002077215,0.019167215,0.039063,0.13715553,0.152021825,0.05688057,0.030460129,0.023281649,-0.00014552,-0.006960215,0.007211228,0.01249801,0.010783609,0.003459609,0.005537825,0.000582079,-0.001787175,-0.002078185,-0.005942606,-0.003282341,-0.016216911,-0.001568911,-0.00444644,0,0.023209874,0.00674195,-0.003499636,0.004664735,0.007542265,0.009256695,0,-0.002805785,-0.01636243,-0.012279745,-0.002513775,-0.00717948,-0.015780351,-0.016289685,-0.009402215,-0.01249801,-0.00444647,-0.010897381,-0.006815695,-0.007396775,-0.004809255,-0.009765,-0.010129785,0.003864391,0.01636243,0.00531953,0.00761504,-0.006961215,0.003790646,0.004082656,-0.005828834,-0.017599305
1848.7,0.01049355,0.091059583,0.077865715,-0.320599854,0.097559424,0.121811715,0.081277815,0.016022305,0.002036795,0.014243795,0.048828,0.171384033,0.188715583,0.069168411,0.023265477,0.020986166,-0.002603689,0.005287205,0.009910921,0.017413344,0.008455788,0.013338788,0.008051583,0.015294755,0.012934583,0.012611238,0.003976993,0.00422051,-0.011236901,0.005852099,0.002926066,0,-0.001066695,-0.005529722,-0.01311204,-0.002684517,0.005125517,0.001876106,-0.004882,0.002036795,-0.006515589,-8.08278E-05,0.014568139,0.012368689,-0.005869834,-0.003993762,0.000404205,-0.010089344,0.000485033,-0.005868868,0.000565894,-8.08609E-05,0.009846828,0,-0.002845205,0.001309212,0.011398589,0.000485033,0.000323377,-0.004478795,0.006111384,0.008876728,0.003832073,-0.005448894
1848.8,0.027656305,0.108222341,0.070759987,-0.43957404,-0.264755434,0.134236987,0.088917096,0.033249735,-0.000444626,0.028852374,0.063477,0.225142536,0.237616341,0.091221252,0.038043825,0.023572682,0.004705142,0.005327626,0.017493613,0.012562679,0.013451967,0.013451967,0.003241341,0.01780043,0.003241341,0.002885662,-0.005635407,-0.007808639,-0.025787891,-0.006257891,-0.011673427,0,-0.003371265,0.013936606,0.001689556,0.019264232,0.017356768,0.009143517,0.002442,0.004438374,-0.006434748,-0.002530911,0.002353053,-0.009588142,-0.013048318,-0.016111838,-0.006880374,-0.007679679,0.002975536,0.001600646,0.003063483,-0.004970947,8.89106E-05,-0.002441,-0.002885626,-0.001244967,0.001551748,-0.001907464,-0.006968285,-0.014204374,-0.008658877,-0.000978199,-0.00603902,-0.003063483
1848.9,0.02528706,0.122943099,0.075861258,-0.487747225,-0.558710291,0.168635258,0.118529377,0.028504166,-0.002926046,0.026369954,0.06836,0.25693004,0.284076099,0.103509093,0.033290172,0.018836199,-0.000194026,-0.004396954,0.012869305,0.017478013,0.011123146,0.011123146,0.008197099,0.012983106,0.000873099,0.007809086,-0.000598808,-0.000306788,-0.011042881,-0.003718881,0.003023079,0,-0.015440834,0.001664934,-0.000597848,0.00947398,0.00029102,0.004203927,-0.004882,-0.000485046,-0.008795907,-0.004979993,0.009668967,0.002635026,-0.010460801,-0.013580914,-0.004397954,-0.012595013,-0.00674196,-0.005577841,-0.004203927,-0.002538033,0.004979993,-0.009765,-0.015134046,0.001082854,0.006353907,0.00302404,0.007712053,0.002926046,-0.001455139,0.006256874,-0.006144113,0.004203927
1849,0.027801815,0.120574858,0.07119653,-0.496858411,-0.747685149,0.18838453,0.162789659,0.038407596,-0.000525467,0.031212533,0.080567,0.288716543,0.335417858,0.135328934,0.04074352,0.023863715,0.009555805,0.005408467,0.015569997,0.027276348,0.018561325,0.018561325,0.010710858,0.005722781,-0.006379142,0.00052551,-0.005328209,-0.000128937,-0.018269871,-0.001180871,-0.001811414,0,-0.020186404,0.008924262,-0.005327252,0.009449728,0.005198272,0.009030338,0.009766,-0.000525467,-0.001390066,-0.000105076,0.014543881,0.005092195,0.004332715,-0.00372699,0.005408467,-0.002862348,-0.001810457,0.001891672,-0.001706338,-0.007429119,0.000105076,-0.004883,-0.012732467,-0.001471325,0.003832066,0.005513543,-0.006903609,0.002966467,0.003305599,0.001285947,-0.008690205,-0.005618662
