Model Parameters: a, b, 1/eps, Lx, Ly, Lz, Dv = 0.8, 0.01, 50, 30, 30, 30, 0
Numerical Parameters: NX, NY, NZ, ts, delta = 41, 41, 41, 0.8, 0.001 
File written: Mon Sep 12 22:45:13 2011
Comments: 3D 





Ascii values of u and v follow
0.999323 0.75019
0.990211 0.761777
0.618674 0.759186
0.0219607 0.69252
0.00993398 0.628433
0.000614169 0.556377
0.00013971 0.489741
0 0.442554
0 0.391949
0 0.357833
0 0.324266
0 0.30126
0 0.276749
0 0.262265
0 0.247971
0 0.237561
0 0.228757
0 0.220918
0 0.215675
0 0.213321
0 0.212878
0 0.214105
0 0.217602
0 0.224231
0 0.232478
0 0.241872
0 0.253284
0 0.268192
0 0.284232
0 0.310338
0 0.329301
0 0.357927
0 0.373656
0 0.384035
0 0.393266
0 0.393706
0 0.387954
0 0.38054
0 0.375276
0 0.372457
0 0.371585
0.999275 0.75069
0.989282 0.762169
0.593419 0.758508
0.0214986 0.692055
0.00982013 0.627335
0.000594244 0.555489
0.000137907 0.488729
0 0.441752
0 0.391496
0 0.357144
0 0.323997
0 0.300851
0 0.276539
0 0.262084
0 0.247851
0 0.237483
0 0.228704
0 0.220887
0 0.215679
0 0.213349
0 0.212925
0 0.214179
0 0.217719
0 0.224381
0 0.232617
0 0.241995
0 0.2533
0 0.268008
0 0.283491
0 0.306696
0 0.321193
0 0.341272
0 0.361106
0 0.370143
0 0.371686
0 0.36723
0 0.359591
0 0.352797
0 0.348203
0 0.345679
0 0.344883
0.999113 0.752234
0.985957 0.763146
0.510905 0.755983
0.0200971 0.69045
0.00941525 0.624027
0.000540742 0.552793
0.000132921 0.485772
0 0.439273
0 0.3902
0 0.355112
0 0.323218
0 0.299642
0 0.275933
0 0.261548
0 0.247507
0 0.23726
0 0.228552
0 0.220804
0 0.215699
0 0.213437
0 0.213072
0 0.214406
0 0.218065
0 0.224794
0 0.232966
0 0.242179
0 0.252494
0 0.264732
0 0.275975
0 0.292441
0 0.305944
0 0.312391
0 0.313794
0 0.311678
0 0.306663
0 0.300194
0 0.293781
0 0.28855
0 0.284886
0 0.282743
0 0.282041
0.998759 0.755159
0.978106 0.764335
0.363839 0.750144
0.0177096 0.686911
0.00847397 0.618201
0.000467542 0.548118
0.00012546 0.481158
0 0.434926
0 0.388205
0 0.35186
0 0.321997
0 0.297704
0 0.274993
0 0.260674
0 0.246974
0 0.236922
0 0.228329
0 0.220699
0 0.215755
0 0.2136
0 0.213327
0 0.214772
0 0.218551
0 0.225211
0 0.233109
0 0.241687
0 0.249382
0 0.25694
0 0.263172
0 0.266375
0 0.266749
0 0.263325
0 0.257208
0 0.24924
0 0.241092
0 0.234155
0 0.228637
0 0.22429
0 0.221109
0 0.219188
0 0.218548
0.997732 0.761229
0.958284 0.765774
0.193009 0.739249
0.0147745 0.68044
0.00662573 0.608609
0.00038462 0.541095
0.000115148 0.475476
0 0.428512
0 0.385612
0 0.347622
0 0.320376
0 0.295158
0 0.273803
0 0.259498
0 0.246303
0 0.236515
0 0.228069
0 0.220607
0 0.215869
0 0.213841
0 0.213657
0 0.215152
0 0.218756
0 0.224312
0 0.229739
0 0.23421
